smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CC=COC(C)=O,-82.93517265447026,90.34783168316156,94.71417064730444,dong_pio_liang.py,CBS-QB3,28.594741020160622,35.89159315499934,42.41895642035922,48.020852535703426,56.85233128176156,63.131889230738054,71.66114720338983
COC(C)OO,-82.77020860604296,88.71068973356329,91.6996021143781,dong_pio_liang.py,CBS-QB3,31.276541018261472,36.843730852262595,41.66930239153776,45.832356711990066,52.4639735380823,57.278012089938805,64.22714653936757
O=CCCO,-82.64918065752049,75.77153611215624,75.77153611215624,dong_pio_liang.py,CBS-QB3,25.427181351872086,31.569478663410326,36.13712665915393,39.288790265200014,43.76219027898193,46.78269621311663,50.84670987214865
OCCCOO,-82.05554588518392,86.97629112289472,86.97629112289472,dong_pio_liang.py,CBS-QB3,33.31729494218413,40.187660997129626,45.34292535904398,49.55258529732788,56.020697634098816,60.4416209929828,66.09616741129062
O=CC(=O)COO,-81.92369449469858,87.36960035504163,87.36960035504163,dong_pio_liang.py,CBS-QB3,29.885730657493742,35.814529954593645,40.51211329550431,44.00332465641239,48.375945390678,51.12925735087572,54.292065409699816
C=CCC(=O)O,-81.61742939950543,84.04537964524403,84.04537964524403,dong_pio_liang.py,CBS-QB3,24.35282597802122,29.90555878536757,34.821565153820266,39.041530347576824,45.69939721768756,50.44358168375334,56.94706768728584
CC(=O)OC=C1COC1,-81.57611204509976,96.37313147831735,99.93372754371684,dong_pio_liang.py,CBS-QB3,34.623761221955625,42.73861286411671,50.153184739347516,56.75115706641499,67.27766890577178,74.37016995089864,83.41898070341766
CC=C(CO)CO,-81.57574105487699,96.6199995493045,98.80316903137594,dong_pio_liang.py,CBS-QB3,35.231887472101214,42.016584866005886,47.977062713572415,53.1942128324316,61.699801794548485,68.09130485339196,77.83872537914603
CCC1COC1O,-81.35432996128053,90.72670622521584,92.90987570728728,dong_pio_liang.py,CBS-QB3,31.54197795110838,39.34359964616764,46.51294286664435,52.87363977655999,62.90249867141276,69.77497152294647,80.06392010325776
CC(C)=C(C)C(CO)OO,-81.25120159751268,117.42165026877929,122.59373213166556,dong_pio_liang.py,CBS-QB3,51.24456699530018,62.08673399639346,71.4483678125024,79.44544731163597,91.9722549837293,100.81800063244742,112.91068625251197
CC(=O)C(C)C=O,-81.24927808477106,95.6324715781058,98.62138395892062,dong_pio_liang.py,CBS-QB3,31.590139450680113,36.79812579210935,42.11691730246713,46.84795182993494,54.58557856018481,60.41621455786806,69.26355411809334
OCC1CCC1O,-80.9204735187531,85.03221753789073,85.03221753789073,dong_pio_liang.py,CBS-QB3,30.40664828556195,39.78778815106388,47.81614792195508,54.51878699171779,64.84497649253922,71.93884266904399,81.11774949695987
CC1=C(C)C(O)CO1,-80.33414759319403,90.94336716562665,95.30970612976954,dong_pio_liang.py,CBS-QB3,35.57416310387889,43.47338539301317,50.409122032621895,56.47441525519902,66.34091651734633,73.7175315918547,84.77660652656068
CC(CC=O)COO,-80.28916011388233,96.19458793420087,97.00033083294424,dong_pio_liang.py,CBS-QB3,40.61394977921262,52.055173963283366,60.61543200958891,66.80301474467888,75.76136072817104,81.47139276586996,87.77189307735418
CCOCOO,-80.28857515864055,89.67223604018744,91.85540552225889,dong_pio_liang.py,CBS-QB3,32.01303774051943,37.265813729273724,41.87216487678298,45.9485543165879,52.51925404278768,57.35627623077246,64.4386876522041
CC1COOC1CO,-80.25961045613863,92.15120861934547,94.33437810141692,dong_pio_liang.py,CBS-QB3,35.26403536099924,44.96171238202218,52.796742197892925,59.39504654344816,69.69563287571125,76.92470801022561,86.66306314832312
CC1OC1(C)O,-80.2058686024634,85.23385488817823,89.60019385232111,dong_pio_liang.py,CBS-QB3,28.010848494361174,33.86975939317187,39.014754563238405,43.51496761273695,50.838990853858554,56.320534266441676,64.56823302299941
O=C1C=CC(=O)C1O,-80.04851333093134,84.8115101578709,84.8115101578709,dong_pio_liang.py,CBS-QB3,27.349530003211857,33.39982064735909,38.28304637532505,42.22791309497412,48.39049569124174,52.74749325917972,58.66400876349436
C=CC(CO)CO,-79.90216029500864,89.72412475169168,89.72412475169168,dong_pio_liang.py,CBS-QB3,37.75657873783651,46.852101387369025,53.48380617715702,58.86855112481275,67.22234199264068,73.04146406816446,80.88892391037884
C=CCOC(C)=O,-79.78255354828062,94.6496869407939,96.83285642286535,dong_pio_liang.py,CBS-QB3,28.01636258085087,35.11634032351224,41.57547817540081,47.149807766138174,56.0191054365573,62.41793958952009,71.34462644232242
C=C(C)C(C)C(CO)OO,-79.71327206590635,111.38637796920126,112.99786376668803,dong_pio_liang.py,CBS-QB3,54.858291087652965,67.94718071470363,77.17270368111974,84.67950422054143,96.1973141508351,104.08310014590825,114.45612557026891
C=C(C=O)C(C)(C)O,-79.64046914057003,92.82509818681616,97.19143715095905,dong_pio_liang.py,CBS-QB3,39.05156649554513,48.27907940087113,55.667395876561905,61.83382063525157,71.41364955426573,78.07690623713195,86.8462187550992
O=C(O)C1CC1,-79.54744564415955,76.70818176258176,76.70818176258176,dong_pio_liang.py,CBS-QB3,23.738806990116828,30.087797624232508,35.47910495769886,40.03807321698993,47.11698129272071,52.02982754180498,58.412859023282046
CC(=O)C(C)=O,-79.35612240892364,82.48641678143899,88.23018232890995,dong_pio_liang.py,CBS-QB3,24.04950255340765,29.343405178102845,34.1189535192935,38.23679583552547,44.78174120649633,49.49990699661185,56.10445238675049
CC(=O)C(C)OO,-79.32234266789759,95.44578491413111,98.43469729494593,dong_pio_liang.py,CBS-QB3,34.46909267345386,40.37337873508106,45.49005191835445,49.903788848970315,56.935912519490394,62.04617101011474,69.46738747791468
CC(O)=CO,-79.06328944410039,76.00075247622495,78.1839219582964,dong_pio_liang.py,CBS-QB3,23.98058664807554,28.835474980250424,33.00449606985254,36.563019848833655,42.12750296847602,46.04167485773615,51.32072246163552
CC=C(O)C=C(C)O,-78.8497369626956,95.53028030689933,99.89661927104221,dong_pio_liang.py,CBS-QB3,35.348765454473636,44.2324676892959,52.27910819010277,59.30025590308406,70.05420988553607,77.15243790082219,87.27817534820385
COCC(C)OO,-77.94822422550344,93.99871448370773,96.98762686452254,johnson_g4.py,G4,33.845452500081066,41.26783173208489,48.2347380673327,54.33475291049989,64.19629537703294,71.50408163076482,82.31965173286805
CC(=O)OC1CC1=O,-77.76074021347682,94.23850341102559,96.42167289309704,dong_pio_liang.py,CBS-QB3,30.338636415314024,36.93394951232209,42.876732787530834,48.096112433646596,56.26882713738916,61.63574927705928,68.35715023407971
OCC1(CO)CC1,-77.48892807255807,87.71300686854573,89.0904334518738,dong_pio_liang.py,CBS-QB3,36.08895776717399,44.933536973369016,51.62835891923877,57.196728921398304,65.9136030838985,72.07500605848949,80.60784100284297
O=CCC1OOC1=O,-77.1808911532407,90.65042734120833,90.65042734120833,dong_pio_liang.py,CBS-QB3,29.445341643734405,34.9840911744558,39.68393505019838,43.619099583060006,49.52098938166406,53.39834511957935,58.74104853672265
C=CC(=O)O,-76.97771243088607,72.71258958682326,72.71258958682326,dong_pio_liang.py,CBS-QB3,19.25922171263799,23.48878497468971,27.38100049832457,30.76534378853599,35.81097555755778,39.12128783435182,43.62508643809823
OCOO,-76.64745380255015,73.57031988438658,73.57031988438658,dong_pio_liang.py,CBS-QB3,20.129425738851243,22.995689950606902,25.296635124522588,27.261435612849883,30.3420311899877,32.52942777691205,35.61764417671666
O=CCO,-76.45107137432569,67.97050451274562,67.97050451274562,dong_pio_liang.py,CBS-QB3,16.811425735115545,20.805291998267073,24.378530196030113,27.399872089913334,31.981020888415518,35.01311993727343,38.422250935919465
CC(C)(C=CO)OO,-76.31923026940675,97.54901233498607,101.91535129912896,dong_pio_liang.py,CBS-QB3,41.46823971922047,49.281574049140495,55.919715212000476,61.562840896210474,70.33728920033897,76.47183954630974,84.79909176811903
CC(=O)CCOO,-76.21481189927299,94.16466134971944,96.34783083179089,dong_pio_liang.py,CBS-QB3,35.74191003664053,41.68259918370254,46.79150823194431,51.162588304484345,58.03655895330193,62.937294021338424,69.87420342477414
CC1C(O)C1CO,-76.21142564151609,91.06181160065796,93.24498108272941,dong_pio_liang.py,CBS-QB3,35.070603859726575,44.58809689289483,51.823593263929254,57.321674609634165,65.77034663905673,71.66854284078393,79.78802020287759
C=C(O)O,-76.13532146666302,69.39612690435085,70.77355348767892,dong_pio_liang.py,CBS-QB3,18.988703828208607,22.792655250071892,25.613119494870944,27.640781776289373,30.698857931917065,32.84623817332696,35.9170447811771
CC(=O)C=C(C=O)C=O,-76.01543675898736,97.39583494803443,99.5790044301059,dong_pio_liang.py,CBS-QB3,35.511122029985245,42.85223427328389,49.1621797613695,54.47485440271012,62.36900138631302,67.30594892097514,73.60471427698364
CC(C)=CC(O)OO,-75.98792372427043,101.459519989714,104.44843237052882,dong_pio_liang.py,CBS-QB3,42.79468873153155,49.58472402242183,55.41599935014221,60.47068972249756,68.59393061523927,74.58588121657743,83.5796039966814
CCC1(CO)CO1,-75.95244236671742,90.7319690747425,92.91513855681394,dong_pio_liang.py,CBS-QB3,34.21392788087304,43.01598682956713,49.77919495987573,55.3476908535543,64.12769141264647,70.4118930657744,79.35738386009204
CCC(=O)COO,-75.66212452806525,93.66869260432048,95.85186208639193,dong_pio_liang.py,CBS-QB3,35.16310143270115,41.29001731880052,46.553269496569065,51.050135786078684,58.10379759553873,63.10912776747611,70.11299360995342
CC1COC1=O,-75.56139853716672,77.22100218760977,79.40417166968122,dong_pio_liang.py,CBS-QB3,22.830939578195412,28.526747509713548,33.48208128402688,37.76873184894146,44.622528138896556,49.617104487212224,56.803807610824194
C=COC(C)=O,-75.48660894613427,80.84065193305213,83.02382141512358,dong_pio_liang.py,CBS-QB3,24.653816203609964,30.254000104076024,35.392994828797804,39.910515321962066,46.82229774119725,51.23628431860419,57.445160003147215
COOCO,-75.37136407365594,81.14643197447367,83.32960145654512,dong_pio_liang.py,CBS-QB3,24.76034857551243,28.879793869483745,32.61765837935002,35.86108371348949,41.058117168847424,44.858025113539185,50.35823079193605
C=C1OC1OC(C)=O,-75.1029992497683,92.388267882468,95.94886394786751,dong_pio_liang.py,CBS-QB3,30.86430068880482,37.493798586413185,43.4092107310815,48.56215121198228,56.56068758386908,61.79677659424474,68.53576780641
C=C(O)CO,-75.0779340490414,76.7194114356182,76.7194114356182,dong_pio_liang.py,CBS-QB3,24.913015714948376,29.827655874162367,33.920459410739,37.40081206247138,42.81049131875972,46.58215925627916,51.612126671336526
COOCCO,-75.02164491892388,89.32374984024541,91.50691932231686,dong_pio_liang.py,CBS-QB3,32.437586998538926,37.67262020908142,42.220232168451844,46.154512369580466,52.4571243463088,57.08392759260994,63.97907026240978
CC1=COC(=O)CC1,-74.99958232355003,84.47172924346089,86.65489872553233,dong_pio_liang.py,CBS-QB3,30.100000999738683,38.24926410327358,45.361975217363764,51.29324147235808,60.590997207169586,67.39281766595792,77.2153185793303
O=C1OOC1=O,-74.79518514871829,69.46307167333852,70.84049825666658,dong_pio_liang.py,CBS-QB3,17.1796694672457,20.336192985510518,22.659812681410134,24.330645982509807,26.755950597877913,28.298508147063096,29.967729315760515
O=C1COOC1=O,-74.64239023609257,77.37084519412032,77.37084519412032,dong_pio_liang.py,CBS-QB3,22.31003810611606,26.974342633742257,30.556326219299,33.513182498741465,38.04092599690131,41.1138041510784,44.95673239285062
