radical_smiles,resonance_radical_smiles,has_H,has_C,has_N,has_O,Mw (g/mol),num_rings,num_heavy_atoms,num_rotatable_bonds,radical_atom_type
C=C[CH]CC1C=CCC1C1C=CCC=C1,C=C[CH]CC1C=CCC1C1C=CCC=C1,True,True,False,False,199.148675608,2,15,4,C
C=C[CH]CC1C=CCC1C1C=CCC=C1,[CH2]C=CCC1C=CCC1C1C=CCC=C1,True,True,False,False,199.148675608,2,15,4,C
C=C[CH]CC=C=CC,C=C[CH]CC=C=CC,True,True,False,False,107.086075352,0,8,4,C
C=C[CH]CC=C=CC,[CH2]C=CCC=C=CC,True,True,False,False,107.086075352,0,8,4,C
[CH]1C2C=CCC1C2,[CH]1C2C=CCC1C2,True,True,False,False,93.070425288,3,7,0,C
C=C[CH]C#CC,C=C[CH]C#CC,True,True,False,False,79.054775224,0,6,1,C
C=C[CH]C#CC,[CH2]C=CC#CC,True,True,False,False,79.054775224,0,6,1,C
C=C[CH]C#CC,C=CC=C=[C]C,True,True,False,False,79.054775224,0,6,2,C
C=[C]CC=C,C=[C]CC=C,True,True,False,False,67.054775224,0,5,2,C
[C]1=CC=CC=C1,[c]1ccccc1,True,True,False,False,77.03912516,1,6,0,C
[C]1=CC=CC=C1,[C]1=CC=CC=C1,True,True,False,False,77.03912516,1,6,0,C
[CH2]C=C=CC=CC,[CH2]C=C=CC=CC,True,True,False,False,93.070425288,0,7,3,C
[CH2]C=C=CC=CC,C=C[C]=CC=CC,True,True,False,False,93.070425288,0,7,3,C
C=C=CC([O])C(=C)C(=C)C,C=C=CC([O])C(=C)C(=C)C,True,True,False,True,135.080989972,0,10,4,O
[CH2]C=CC1C=CC1,[CH2]C=CC1C=CC1,True,True,False,False,93.070425288,1,7,2,C
[CH2]C=CC1C=CC1,C=C[CH]C1C=CC1,True,True,False,False,93.070425288,1,7,2,C
C#C[CH2],C#C[CH2],True,True,False,False,39.023475096,0,3,0,C
C#C[CH2],[CH]=C=C,True,True,False,False,39.023475096,0,3,0,C
[CH2]C#CC=CC,[CH2]C#CC=CC,True,True,False,False,79.054775224,0,6,1,C
[CH2]C#CC=CC,C=C=[C]C=CC,True,True,False,False,79.054775224,0,6,2,C
[CH2]C#CC=CC,C=C=C=C[CH]C,True,True,False,False,79.054775224,0,6,2,C
[CH2]C1CC1=C,[CH2]C1CC1=C,True,True,False,False,67.054775224,1,5,1,C
C#CC(=C)O[O],C#CC(=C)O[O],True,True,False,True,83.013304336,0,6,1,O
C#CC1([CH]C)OO1,C#CC1([CH]C)OO1,True,True,False,True,97.0289544,1,7,2,C
C=CC#C[CH]C,C=CC#C[CH]C,True,True,False,False,79.054775224,0,6,1,C
C=CC#C[CH]C,C=C[C]=C=CC,True,True,False,False,79.054775224,0,6,2,C
C=CC#C[CH]C,[CH2]C=C=C=CC,True,True,False,False,79.054775224,0,6,2,C
C#CO[O],C#CO[O],True,True,False,True,56.997654272000005,0,4,0,O
C=C=C=CCO[O],C=C=C=CCO[O],True,True,False,True,97.0289544,0,7,2,O
C=C1[C]=COO1,C=C1[C]=COO1,True,True,False,True,83.013304336,1,6,0,C
C=C1[C]=COO1,[CH2]C1=C=COO1,True,True,False,True,83.013304336,1,6,1,C
CC1=[C]CC1,CC1=[C]CC1,True,True,False,False,67.054775224,1,5,1,C
C=C=CC[CH]C=C,C=C=CC[CH]C=C,True,True,False,False,93.070425288,0,7,3,C
C=C=CC[CH]C=C,[CH2]C=CCC=C=C,True,True,False,False,93.070425288,0,7,3,C
C1=CC2[C](C1)C1C=CC2C1,C1=CC2[C](C1)C1C=CC2C1,True,True,False,False,131.086075352,3,10,0,C
C=C=C[CH]CC=C,C=C=C[CH]CC=C,True,True,False,False,93.070425288,0,7,3,C
C=C=C[CH]CC=C,C=[C]C=CCC=C,True,True,False,False,93.070425288,0,7,3,C
C=CC=CC=[C]C,C=CC=CC=[C]C,True,True,False,False,93.070425288,0,7,3,C
C#CC[CH2],C#CC[CH2],True,True,False,False,53.03912516,0,4,1,C
[CH]=C(O)C#C,[CH]=C(O)C#C,True,True,False,True,67.018389716,0,5,1,C
[CH2]C=C=CC=C,[CH2]C=C=CC=C,True,True,False,False,79.054775224,0,6,2,C
[CH2]C=C=CC=C,C=C[C]=CC=C,True,True,False,False,79.054775224,0,6,2,C
C#C[C]1CO1,C#C[C]1CO1,True,True,False,True,67.018389716,1,5,0,C
C#C[C]1CO1,[CH]=C=C1CO1,True,True,False,True,67.018389716,1,5,0,C
[CH]=C1CC1=O,[CH]=C1CC1=O,True,True,False,True,67.018389716,1,5,0,C
[CH2]C1=CC1,[CH2]C1=CC1,True,True,False,False,53.03912516,1,4,1,C
[CH2]C1=CC1,C=C1[CH]C1,True,True,False,False,53.03912516,1,4,0,C
[CH]=C=C=CC=O,[CH]=C=C=CC=O,True,True,False,True,79.018389716,0,6,1,C
[CH]=C=C=CC=O,C#C[C]=CC=O,True,True,False,True,79.018389716,0,6,1,C
C#C[CH]CCC=C,C#C[CH]CCC=C,True,True,False,False,93.070425288,0,7,3,C
C#C[CH]CCC=C,[CH]=C=CCCC=C,True,True,False,False,93.070425288,0,7,3,C
C=C=C=CO[O],C=C=C=CO[O],True,True,False,True,83.013304336,0,6,1,O
