smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
[CH2]OC(O)C(CC)CO,-110.12405751585953,111.1131836038032,111.91892650254658,dong_pio_liang.py,CBS-QB3,47.977951481743936,58.830691089123675,67.942719436109,75.39225130132405,86.2949402502715,93.97173641154875,104.87494853036448
CC(=O)OC(O[O])C(C)C,-109.95479311059069,115.0341239189489,120.20620578183515,dong_pio_liang.py,CBS-QB3,44.32973540640994,53.72382490307532,62.44170086605281,69.91823412017956,81.68783424250078,90.03708741172086,101.32790415854805
CC(OO)C(O)C(=O)O[O],-109.71301616896464,114.44517053043401,113.87348684584931,dong_pio_liang.py,CBS-QB3,46.95976469836325,55.259418695647575,61.6812056321654,66.62412072410342,73.38681178328046,77.60943577984703,83.12008012979301
CC(=O)OC([O])C1(C)CO1,-109.66880793675855,108.84412930098024,111.83304168179505,dong_pio_liang.py,CBS-QB3,42.12187898052439,51.23526267189559,59.17777380442758,66.01589747960082,76.6924710716943,83.98705709162526,93.40417607602937
CC(=O)OC(C)C(C)O[O],-109.56431767206625,116.7929326848581,120.5875879644163,dong_pio_liang.py,CBS-QB3,43.602607804001536,53.39070658394742,62.09181962744981,69.55135058718076,81.29563767309281,89.63722171959847,101.01066278672326
[O]OC(O)C(O)=CO,-109.17125342402332,93.64313052216922,92.26570393884114,dong_pio_liang.py,CBS-QB3,35.63416111679025,43.68483840901109,49.139210138226574,53.1966799699695,58.999198156192826,62.45309128531547,65.4602749930294
CC(C)(O[O])C(O)O,-108.98690249546966,97.00448998268068,101.37082894682356,dong_pio_liang.py,CBS-QB3,41.88125853245201,49.254972857784445,55.09437742998685,60.054445474394306,67.75825130129832,73.13818140856597,80.45267246722393
CCCC([O])OC(C)=O,-108.82901274862003,111.03952228540986,114.02843466622468,dong_pio_liang.py,CBS-QB3,42.17619876845839,51.16072494069253,59.04944932362632,65.92539699550515,76.96852298840375,84.94414542264818,95.68169841852598
[O]OCC1(COO)COC(=O)C1,-108.72617264054699,119.01425864848581,119.01425864848581,dong_pio_liang.py,CBS-QB3,48.28941466316194,58.04861242587292,66.51804762543142,73.71805316202176,84.89743387637664,92.66649943759083,102.87503384383484
CC(=O)OC(C)(C)CO[O],-108.32427398710023,113.70362319390999,120.25313164012431,dong_pio_liang.py,CBS-QB3,45.36306053019426,54.93706419976448,63.391790504180214,70.62746042590719,81.98808470662306,90.02516417271512,100.9292767444766
[O]C(=O)OC=O,-107.99768079806435,80.90413145363769,80.90413145363769,dong_pio_liang.py,CBS-QB3,19.76160783924056,22.579171785959556,24.910956223810942,26.822033970461426,29.618122385181273,31.391066468871887,33.427358212405586
[O]C1CC(=O)CC(=O)O1,-107.92814619223847,90.06895321120534,90.06895321120534,dong_pio_liang.py,CBS-QB3,30.647722863974373,38.425702763291774,44.91034031188337,50.029406912500185,57.65217102440239,63.043331360229445,70.32673505718812
CC(=O)OCC1(O[O])COOC1,-107.85196250843036,118.077346957807,120.26051643987844,dong_pio_liang.py,CBS-QB3,46.381244730206504,56.73905167211255,65.75113123053777,73.41151994582604,85.29855522864517,93.54259916766732,104.26498170491638
CCCC(O[O])OC(C)=O,-107.81241444352491,117.63342783002706,120.62234021084188,dong_pio_liang.py,CBS-QB3,44.794166232630964,54.32365215241841,62.81107411642209,70.0802194934656,81.50555993597422,89.59823272804972,100.57246884921368
C[CH]C(=O)OCO,-107.78681829529617,87.74019635960906,89.9233658416805,johnson_cbs-qb3.py,CBS-QB3,28.475375884708985,35.01617467110668,40.89983939151315,45.96363697228586,53.987432328565006,59.74502165172466,67.74431649065271
CC1OOC(C)([O])OC1=O,-107.68808400755724,99.01562081001809,103.38195977416098,dong_pio_liang.py,CBS-QB3,38.9765866108956,47.45835755179809,54.28412751333174,60.08017471133305,69.07697234573611,75.3397478747801,83.70049694617111
CC(=O)OCCC(C)O[O],-107.50458767340604,120.43999574685908,123.4289081276739,dong_pio_liang.py,CBS-QB3,45.105692448239196,54.25846856786135,62.53767052000837,69.6629564920264,80.95432026712315,89.05977925455068,100.34586396589746
C=C(COC(C)=O)OCO[O],-107.37360047596646,123.2186440410937,125.40181352316515,dong_pio_liang.py,CBS-QB3,45.74185308969789,54.994303059911914,63.01672266518164,69.82241541045539,80.34925076703053,87.61396729271507,96.99373101771506
CC(=O)OC(C)CCO[O],-107.2217407571628,118.31726057503231,121.30617295584712,dong_pio_liang.py,CBS-QB3,45.52772900585145,54.81674898883357,63.14087090732075,70.28539872366584,81.55612973110446,89.588415927935,100.62167208217735
CC(=O)OC(C=O)O[O],-107.05421023120331,106.19456641981968,107.00030931856305,dong_pio_liang.py,CBS-QB3,34.0275907068088,40.29039702960474,45.78018530949808,50.42967306647663,57.5958369950166,62.50255285512427,68.66510377532025
